index,login_timestamp,user_id,round-trip_time_[ms],ip_address,country,region,city,asn,user_agent_string,browser_name_and_version,os_name_and_version,device_type,login_successful,is_attack_ip,is_account_takeover,time_of_day,ip_reputation_score,geo_anomaly_flag,fail_count_1min,fail_count_5min,unique_usernames_5min,time_since_last_login,is_new_device,rolling_fail_velocity,login_success_rate_1min,fail_to_success_ratio_5min,attack_type,is_anomaly
5125996,2020-04-13 16:24:15.550,9021249363071597011,0.0,209.236.117.166,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.96 Mobile Safari/537.36",Chrome Mobile 81.0.4044,iOS 11.2.6,mobile,True,True,False,16,1.0,0,2,3,4,999999,1,0.3,0.3333333333333333,3.0,dictionary_attack,1
3577956,2020-03-23 11:20:41.315,-4324475583306591935,0.0,209.236.123.154,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/84.0.4147.111 Mobile Safari/537.36 PHX/6.3",Chrome Mobile 84.0.4147,iOS 14.2.1,mobile,False,True,False,11,1.0,0,0,10,5,1,0,1.3,1.0,10.0,dictionary_attack,1
20594078,2020-11-12 20:07:14.335,-3079389994878090347,0.0,84.209.250.15,NO,Viken,Drammen,41164,"Mozilla/5.0  (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko Chrome/72.0.3626.54.105 Safari/537.36",Chrome 72.0.3626.54,Chromecast 1.49.230269,desktop,False,False,False,20,0.0,0,0,0,1,999999,1,0.0,1.0,0.0,normal,0
1321768,2020-02-20 17:27:38.423,1317358937720785133,0.0,38.135.39.81,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) power lite AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 variation/152065",Chrome Mobile 81.0.4044,iOS 11.2.6,mobile,False,True,False,17,1.0,0,3,3,3,999999,1,0.3,0.25,3.0,brute_force,1
5055231,2020-04-12 15:07:41.159,-4324475583306591935,0.0,38.135.39.178,US,-,-,393398,"Mozilla/5.0  (Linux; U; Android 2.2) AppleWebKit/537.36 (KHTML, like Gecko Chrome/84.0.4147.111 Mobile Safari/537.36 PHX/6.3",Chrome Mobile 84.0.4147,Android 2.2,mobile,False,True,False,15,1.0,0,1,3,2,0,0,0.3,0.0,3.0,dictionary_attack,1
132503,2020-02-05 07:03:52.626,-3458015873374248195,0.0,209.236.123.5,US,-,-,393398,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) Plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1948.114 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1948,Android 6.0.99,mobile,False,True,False,7,1.0,0,1,4,4,999999,1,0.4,0.0,4.0,dictionary_attack,1
3094095,2020-03-16 15:11:47.295,-4324475583306591935,0.0,66.248.237.21,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.5.10 variation/274848",MiuiBrowser 12.5.10,iOS 14.2.1,mobile,False,True,False,15,1.0,0,1,1,2,0,0,0.1,0.0,1.0,normal,0
27234659,2021-01-11 00:56:07.872,-4324475583306591935,0.0,203.76.172.1,SG,-,-,45470,VLC/3.0.0-git LibVLC/3.0.0-git,VLC 3.0.0-git,Other ,unknown,False,False,False,0,0.0,1,0,0,1,16,0,0.0,1.0,0.0,normal,0
29896491,2021-02-11 07:01:00.073,-4324475583306591935,0.0,103.10.0.11,CN,-,-,59083,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/79.0.3945.192.194.130 Safari/537.36 RuxitSynthetic/1.0 v5043457830 t8347097904287973985",Chrome 79.0.3945.192.194,Chrome OS 5978.98.0,desktop,False,False,False,7,0.0,1,0,0,1,4,0,0.0,1.0,0.0,normal,0
22080513,2020-11-26 14:32:50.807,-4324475583306591935,0.0,10.3.205.195,RU,Sverdlovsk Oblast,Alapayevsk,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,14,0.0,1,1,4,1,3,0,1.0,0.0,4.0,dictionary_attack,1
3019497,2020-03-15 14:10:02.613,-7834656604710733206,0.0,209.236.117.105,US,-,-,393398,Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) Gecko/20100101 Firefox/20.0.0.1681 variation/120293,Firefox 20.0.0.1681,Android 6.0.99,mobile,False,True,False,14,1.0,0,1,3,3,999999,1,0.3,0.0,3.0,dictionary_attack,1
28718722,2021-01-27 15:45:57.623,-4324475583306591935,0.0,81.167.15.216,NO,Viken,Kongsberg,29695,"Mozilla/5.0  (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko Chrome/72.0.3626.59.17 Safari/537.36",Chrome 72.0.3626.59,Chromecast 1.49.230269,desktop,False,False,False,15,0.0,1,0,0,1,3,0,0.0,1.0,0.0,normal,0
2885627,2020-03-13 11:41:48.895,-4556628373878382324,0.0,84.208.199.27,NO,Rogaland,Stavanger,41164,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20150101 Firefox/20.0.0.1673 (Chrome,Firefox 20.0.0.1673,iOS 13.4,mobile,True,True,False,11,1.0,0,0,2,2,999999,1,0.2,1.0,2.0,normal,0
677241,2020-02-12 11:00:13.682,-4324475583306591935,0.0,209.236.123.119,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1943.111 Mobile Safari/537.36 OPT/2.3",Chrome Mobile 81.0.4044.1943,iOS 11.2.6,mobile,False,True,False,11,1.0,0,1,1,1,0,0,0.1,0.0,1.0,normal,0
8763747,2020-06-04 05:21:45.520,-4324475583306591935,0.0,10.0.181.213,AR,Cordoba,Chanaritos,262582,"Mozilla/5.0  (Macintosh; Intel Mac OS X 11_6_3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/84.0.4147.338.339.125 Safari/537.36/QN0TI7Tz-14",Chrome 84.0.4147.338.339,Mac OS X 11.6.3,desktop,False,False,False,5,0.0,1,0,0,1,41,0,0.1,1.0,0.0,normal,0
